#==============================================================================
#
# 『モデルビューワ』スクリプトファイル [model.txt]
# Author : AKIRA TANAKA
#
#==============================================================================
SCRIPT			# この行は絶対消さないこと！

#------------------------------------------------------------------------------
# モデルファイル名
#------------------------------------------------------------------------------
MODEL_FILENAME = data/MODEL/Drawing_Doll.x			# デッサン人形

#------------------------------------------------------------------------------
# 移動パターン数
#------------------------------------------------------------------------------
NUM = 4			# 設定するパターンの数

#------------------------------------------------------------------------------
# 移動ルート0
#------------------------------------------------------------------------------
POSNUM = 8			# 設定するポイントの数
POS = -18.0 0.0 -415.0			# [0]
POS = 430.0 0.0 -434.0			# [1]
POS = 617.0 0.0 215.0			# [2]
POS = 508.0 0.0 501.0			# [3]
POS = 61.0 0.0 500.0			# [4]
POS = -428.0 0.0 477.0			# [5]
POS = -416.0 0.0 168.0			# [6]
POS = -398.0 0.0 -330.0			# [7]

#------------------------------------------------------------------------------
# 移動ルート1
#------------------------------------------------------------------------------
POSNUM = 8			# 設定するポイントの数
POS = -18.0 0.0 -415.0			# [0]
POS =  -398.0 0.0 -330.0		# [1]
POS = -416.0 0.0 168.0			# [2]
POS = -428.0 0.0 477.0			# [3]
POS = 61.0 0.0 500.0			# [4]
POS = 508.0 0.0 501.0			# [5]
POS = 617.0 0.0 215.0			# [6]
POS = 430.0 0.0 -434.0			# [7]

#------------------------------------------------------------------------------
# 移動ルート2
#------------------------------------------------------------------------------
POSNUM = 8			# 設定するポイントの数
POS = -18.0 0.0 -415.0			# [0]
POS = 617.0 0.0 215.0			# [1]
POS = -416.0 0.0 168.0			# [2]
POS = 61.0 0.0 500.0			# [3]
POS = -18.0 0.0 -415.0			# [4]
POS = -416.0 0.0 168.0			# [5]
POS = 617.0 0.0 215.0			# [6]
POS = 61.0 0.0 500.0			# [7]

#------------------------------------------------------------------------------
# 移動ルート3
#------------------------------------------------------------------------------
POSNUM = 8			# 設定するポイントの数
POS = -18.0 0.0 -415.0			# [0]
POS = -416.0 0.0 168.0			# [1]
POS = 617.0 0.0 215.0			# [2]
POS = 61.0 0.0 500.0			# [3]
POS = -18.0 0.0 -415.0			# [4]
POS = 617.0 0.0 215.0			# [5]
POS = -416.0 0.0 168.0			# [6]
POS = 61.0 0.0 500.0			# [7]

END_SCRIPT		# この行は絶対消さないこと！
